Issuer,Bloomberg.ID,Maturity,Amount.issued,Credit.rating,Credit.rating..,Yield,RELBBSW
COCA-COLA AMATIL NZ  LTD,EI748620 Corp,5.642710472,45000000,BBB+,3,3.857716819,1.630322883
PERTH AIRPORT PTY LTD,EK130688 Corp,5.316906229,400000000,BBB,2,4.216182626,1.630322883
SGSP AUSTRALIA ASSETS,EK104871 Corp,5.281314168,350000000,BBB+,3,4.086670397,1.630322883
SANTOS FINANCE LTD,EI409652 Corp,54.81177276,1402524544,BBB-,1,9.755224212,1.630322883
COCA-COLA AMATIL LTD,EJ689924 Corp,4.511978097,205000000,BBB+,3,3.480220716,1.630322883
QANTAS AIRWAYS LTD,EJ646891 Corp,4.407939767,250000000,BBB-,1,4.955794388,1.630322883
PERTH AIRPORT PTY LTD,EJ758820 Corp,4.646132786,150000000,BBB,2,3.949279028,1.630322883
COCA-COLA AMATIL LTD,EJ922576 Corp,4.988364134,100000000,BBB+,3,3.601560097,1.630322883
BRISBANE AIRPORT CORP LT,EJ879888 Corp,4.892539357,350000000,BBB,2,3.874006069,1.630322883
SGSP AUSTRAL ASSETS PTY,EJ384977 Corp,7.356605065,490677134.4,BBB+,3,4.987830999,1.630322883
COCA-COLA AMATIL LTD,EJ337782 Corp,2.767967146,200000000,BBB+,3,3.177404132,1.630322883
AURIZON NETWORK PTY LTD,EJ889313 Corp,4.911704312,525000000,BBB+,3,4.274857771,1.630322883
ADANI ABBOT POINT TERMIN,EJ881802 Corp,2.92128679,500000000,BBB-,1,5.531986396,1.630322883
ORIGIN ENERGY FINANCE,EJ637162 Corp,4.898015058,951293759.5,BBB-,1,6.087591946,1.630322883
COCA-COLA AMATIL LTD,EJ515638 Corp,2.187542779,100000000,BBB+,3,3.074403959,1.630322883
AMCOR LTD,EJ596276 Corp,7.307323751,373087924.4,BBB,2,4.534025987,1.630322883
NEWCREST FINANCE PTY LTD,EI870349 Corp,5.960301164,736883474.2,BBB-,1,6.408977187,1.630322883
ASCIANO FINANCE,EI630022 Corp,2.351813826,716880137.6,BBB,2,4.022910558,1.630322883
TRANSURBAN FINANCE CO,EJ861639 Corp,4.856947296,719527989.6,BBB+,3,4.159395293,1.630322883
SYDNEY AIRPORT FINANCE,EJ406857 Corp,7.307323751,804093567.3,BBB,2,4.898310021,1.630322883
NEWCREST FINANCE PTY LTD,EJ378433 Corp,6.836413415,723309865.9,BBB-,1,6.86498004,1.630322883
LEIGHTON FINANCE USA PTY,EJ431710 Corp,6.954140999,479340427.6,BBB-,1,6.281691955,1.630322883
INCITEC PIVOT LTD,EJ792206 Corp,3.227926078,200000000,BBB,2,4.092318364,1.630322883
COCA-COLA AMATIL LTD,EJ433341 Corp,3.953456537,150000000,BBB+,3,3.263331406,1.630322883
NEWCREST FINANCE PTY LTD,EI870493 Corp,25.96030116,491255649.4,BBB-,1,8.084163862,1.630322883
DBNGP FINANCE CO PTY LTD,EJ426585 Corp,3.863107461,300000000,BBB-,1,4.101520752,1.630322883
QPH FINANCE CO PTY LTD,EJ764636 Corp,4.66255989,300000000,BBB,2,3.816059146,1.630322883
SGSP AUSTRAL ASSETS PTY,EI561531 Corp,5.201916496,399297236.9,BBB+,3,4.377140963,1.630322883
WOOLWORTHS LIMITED,EJ094929 Corp,3.3045859,500000000,BBB+,3,3.770136153,1.630322883
ASCIANO FINANCE LTD,EJ832440 Corp,7.802874743,509372453.1,BBB,2,5.419583216,1.630322883
SGSP AUSTRAL ASSETS PTY,EJ598416 Corp,4.317590691,150000000,BBB+,3,3.98944925,1.630322883
ORIGIN ENERGY FINANCE,EJ866079 Corp,2.858316222,848896434.6,BBB-,1,5.253608328,1.630322883
