Issuer,Bloomberg.ID,Maturity,Amount.issued,Credit.rating,Credit.rating..,Yield,RELBBSW
TRANSURBAN FINANCE CO PT,EH725553 Corp,2.95687885,237268690.4,BBB+,3,3.626148178,2.9623
COCA-COLA AMATIL LTD,EI814473 Corp,5.826146475,30000000,BBB+,3,3.862831696,2.9623
APT PIPELINES LTD,EI193567 Corp,3.58384668,92787331.44,BBB,2,5.401268018,2.9623
APT PIPELINES LTD,EI168528 Corp,6.455852156,62000000,BBB,2,4.428412432,2.9623
APT PIPELINES LTD,EI168508 Corp,6.455852156,148538572.1,BBB,2,5.833212803,2.9623
APT PIPELINES LTD,EI168484 Corp,3.455167693,146142788.7,BBB,2,4.992855705,2.9623
APT PIPELINES LTD,EI168516 Corp,6.455852156,81000000,BBB,2,4.393423419,2.9623
APT PIPELINES LTD,EI168496 Corp,3.455167693,68000000,BBB,2,3.765447833,2.9623
QANTAS AIRWAYS LTD,EK269091 Corp,6.466803559,300000000,BBB-,1,5.710089582,2.9623
COCA-COLA AMATIL LTD,EK262202 Corp,5.472963723,100000000,BBB+,3,3.760200239,2.9623
SYDNEY AIRPORT FINANCE,EK156115 Corp,8.396988364,1041976779,BBB,2,5.110988,2.9623
Transurban Finance Co Pty Ltd,EK4655081 Corp,8.796714579,855553971.2,BBB+,3,4.938980144,2.9623
Aurizon Network Pty Ltd,EK4685294 Corp,8.802190281,719114051.5,BBB+,3,5.339293567,2.9623
Coca-Cola Amatil Ltd,EK4152378 Corp,5.700205339,100000000,BBB+,3,3.660102845,2.9623
Brambles Finance Ltd,EK3156859 Corp,8.533880903,718287602.4,BBB+,3,4.828362444,2.9623
SGSP Australia Assets Pty Ltd,EK3157451 Corp,6.581793292,726427429.9,BBB+,3,4.918693994,2.9623
Adani Abbot Point Terminal Pty Ltd,EK2849330 Corp,4.495550992,100000000,BBB-,1,5.970207557,2.9623
QPH Finance Co Pty Ltd,EK3554137 Corp,5.60164271,200000000,BBB,2,4.01171606,2.9623
Crown Group Finance Ltd,EK5876389 Corp,3.967145791,450000000,BBB,2,4.260933194,2.9623
AGL Energy Ltd,EK5737813 Corp,5.932922656,600000000,BBB,2,4.374935412,2.9623
Alumina Ltd,EK5989620 Corp,3.969883641,125000000,BBB-,1,4.757277337,2.9623
Sun Group Finance Pty Ltd,EK6279310 Corp,6.023271732,250000000,BBB,2,4.547573122,2.9623
Sun Group Finance Pty Ltd,EK6424791 Corp,9.045859001,200000000,BBB,2,4.924912641,2.9623
Incitec Pivot Finance LLC,EI0704078 Corp,4.027378508,874030372.6,BBB,2,4.664904421,2.9623
DBNGP Finance Co Pty Ltd,EK5107249 Corp,4.837782341,100000000,BBB-,1,4.158870433,2.9623
Brambles Finance PLC,EI6460709 Corp,2.387405886,679902094.1,BBB+,3,3.294494875,2.9623
Brambles USA Inc,EI2000491 Corp,4.336755647,544721647.2,BBB+,3,4.190683606,2.9623
Asciano Finance Ltd,EK9072910 Corp,9.467488022,350000000,BBB,2,5.247199419,2.9623
APT Pipelines Ltd,EK8055148 Corp,6.308008214,973845297.7,BBB,2,4.964212466,2.9623
APT Pipelines Ltd,EK8055262 Corp,14.30800821,1154201293,BBB,2,5.723676063,2.9623
Transurban Finance Co Pty Ltd,EK9118226 Corp,9.744010951,715000715,BBB+,3,5.118185178,2.9623
Woodside Finance Ltd,EK7758478 Corp,9.262149213,1288825880,BBB+,3,5.779421241,2.9623
APT Pipelines Ltd,EK8055387 Corp,11.30732375,904284919.3,BBB,2,5.708044775,2.9623
APT Pipelines Ltd,EK8078215 Corp,9.311430527,1398068124,BBB,2,5.704344158,2.9623
Sydney Airport Finance Co Pty Ltd,EK8787450 Corp,9.415468857,633151829.8,BBB,2,4.9877024,2.9623
Energy Partnership Gas Pty Ltd,EK9545295 Corp,4.542094456,210000000,BBB-,1,4.101541937,2.9623
APT Pipelines Ltd,EK8078397 Corp,19.3100616,381291306.6,BBB,2,6.641332455,2.9623
DBNGP Finance Co Pty Ltd,UV3027009 Corp,7.8275154,125000000,BBB-,1,4.638527992,2.9623
Energy Partnership Gas Pty Ltd,EK9580078 Corp,4.542094456,20000000,BBB-,1,4.004518529,2.9623
Qantas Airways Ltd,EK3117976 Corp,5.53045859,400000000,BBB-,1,5.547167853,2.9623
Coca-Cola Amatil Ltd,UV8551672 Corp,9.801505818,30000000,BBB+,3,4.089738927,2.9623
Brambles USA Inc,QJ2217868 Corp,9.897330595,692904656.3,BBB+,3,5.205904112,2.9623
Transurban Finance Co Pty Ltd,QJ4132016 Corp,10.17659138,770631918.2,BBB+,3,5.321069655,2.9623
Downer Group Finance Pty Ltd,EK7841308 Corp,6.277891855,250000000,BBB,2,4.814592743,2.9623
ConnectEast Finance Pty Ltd,EK7582084 Corp,6.239561944,300000000,BBB,2,4.241117892,2.9623
Virgin Australia 2013-1B Trust,EJ8710489 Corp,4.898015058,124296456.5,BBB,2,6.426481125,2.9623
Australian Gas Networks Vic 3 Pty Ltd,EK6519434 Corp,6.047912389,325000000,BBB+,3,4.056928126,2.9623
Downer Group Finance Pty Ltd,EJ6876910 Corp,2.997946612,150000000,BBB,2,4.107935905,2.9623
ConnectEast Finance Pty Ltd,EJ8026167 Corp,4.758384668,250000000,BBB,2,3.938991242,2.9623
Praeco Pty Ltd,EG9952441 Corp,4.65982204,215690000,BBB,2,5.500894536,2.9623
